org_id,org_name,org_type,status,queued_date,started_date,completed_date,analyst_note
GOV-001,과학기술정보통신부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-002,행정안전부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-003,기획재정부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-004,외교부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-005,보건복지부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-006,교육부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-007,환경부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-008,국토교통부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-009,법무부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
GOV-010,국방부,central_ministry,completed,2025-01-01,2025-01-10,2025-01-15,
